Sample UserCPUsec SysCPUsec ElapsedTime ElapsedSec PercCPU MaxRSS_kB Numthreads
MGF_n2-2_pUJ_i4_Jun14 70075.21 12131.11 3:44:52 13492.51 609% 39867408 10
MGF_pBr_s32_nLT2-N7_i4 57402.12 6469.61 3:02:04 10924.16 584% 39791312 10
MGF_pJM_s32_nLT2-N7_i3 62216.31 5984.63 2:35:39 9339.53 730% 39729808 10
MGF_pLJ_s32_nLT2-N7_i2 76261.12 8250.92 3:52:37 13957.51 605% 39846816 10
MGF_pUJ_s32_nLT2-N7_i1 61681.13 5675.41 2:35:15 9315.27 723% 36512480 10
SGF_pUJ_s32_nRT1-N2_i8 76330.33 11975.35 4:04:23 14663.25 602% 39887136 10
SGF_pUJ_s32_nRT4-N1_i9 71858.32 10732.84 3:44:26 13466.19 613% 39878944 10
VF_n1-2_pUJ_i2_Jun14 145634.25 27700.65 7:06:58 25618.34 676% 50595856 10
VF_n2-1_pUJ_i1_Jun14 142764.59 29515.52 6:22:26 22946.44 750% 51431824 10
VF_n4-2_pUJ_i3_Jun14 74689.07 11286.55 3:46:55 13615.09 631% 39860704 10
ZF_pLJ_n2_i6 64302.12 9071.10 3:28:23 12503.73 586% 39803424 10
ZF_pUJ_n2_i5 65851.44 7523.14 3:28:32 12512.80 586% 39800544 10
ZF_pUJ_n3_i7 68292.84 8755.85 3:38:20 13100.83 588% 39782192 10
ZF_pUJ_s32_n1_i12 58348.91 7967.36 3:09:25 11365.54 583% 39748176 10
